Class	Allen CCFv3 X mm	Allen CCFv3 Y mm	Allen CCFv3 Z mm	Esr1 (Opal 480): Num Spots	Prg (Opal 520): Num Spots	Prlr (Opal 570): Num Spots	Oxt (Opal 620): Num Spots
Positive	7.5883	2.0934	8.3145	0	0	0	0
Positive	7.5963	1.0609	8.6029	1	11	0	0
Positive	7.551	6.7962	7.0993	6	3	3	1
Positive	7.5833	4.3845	6.0598	4	10	3	17
Positive	7.5835	6.106	3.8711	9	3	1	8
Positive	7.5383	6.0549	9.644	20	20	0	3
Positive	7.5682	2.6307	10.1767	3	10	0	0
Positive	7.6338	3.4608	0.845	2	5	0	0
Positive	7.5942	2.6799	6.8335	1	7	1	0
Positive	7.5764	5.9481	4.9596	1	4	2	1
Positive	7.5468	4.9036	10.0161	0	0	0	0
Positive	7.5911	4.9747	4.3306	4	13	2	0
Positive	7.6208	3.8738	1.9695	5	12	9	9
Positive	7.581	6.2098	4.0536	1	10	0	0
Positive	7.6068	5.1333	2.149	8	0	14	0
Positive	7.6395	1.61	2.4523	3	18	0	0
Positive	7.5902	3.9982	5.6746	0	3	4	5
Positive	7.5909	6.4636	2.4855	11	6	0	16
Positive	7.6055	3.1066	4.8609	8	20	0	0
Positive	7.6196	4.8001	0.955	4	6	0	14
Positive	7.5674	2.7483	10.1342	1	8	0	0
Positive	7.5785	1.9735	9.708	0	2	0	0
Positive	7.6269	1.8274	3.7759	6	13	0	1
Positive	7.6232	0.3231	6.1311	4	13	0	0
Positive	7.5647	5.5282	6.976	3	9	0	0
Positive	7.5991	5.1074	3.1513	7	22	0	12
Positive	7.6343	2.3617	2.1657	6	11	0	0
Positive	7.6099	4.5804	2.4548	0	8	4	8
Positive	7.6201	4.8233	0.8547	11	34	0	11
Positive	7.6361	2.1561	2.1995	10	9	0	0
Positive	7.6118	4.1555	2.7469	11	4	1	1
Positive	7.6055	1.2083	7.2518	4	7	0	0
Positive	7.5838	2.7873	8.0133	0	11	1	0
Positive	7.5322	6.8236	9.4422	4	9	0	1
Positive	7.6057	0.9288	7.5777	4	12	0	1
Positive	7.6111	0.5639	7.3572	6	6	0	4
Positive	7.5975	3.4402	5.4519	0	5	0	0
Positive	7.5981	6.1791	1.9387	5	3	0	6
Positive	7.614	1.1851	6.2159	2	18	0	5
Positive	7.6182	4.9736	0.9112	5	10	0	13
Positive	7.5291	7.0916	9.4989	37	16	0	9
Positive	7.594	3.0462	6.3934	2	14	0	0
Positive	7.5821	6.3877	3.6879	2	11	0	0
Positive	7.585	6.6833	2.95	11	15	0	8
Positive	7.611	1.4672	6.2369	2	8	0	0
Positive	7.5663	6.8883	5.0601	9	6	13	4
Positive	7.642	2.5434	0.9711	0	0	0	0
Positive	7.6168	2.6225	4.0443	0	14	1	0
Positive	7.5757	5.6636	5.412	0	4	2	7
Positive	7.5656	2.4527	10.7331	0	5	0	1
Positive	7.5666	4.6208	7.8738	7	7	0	6
Positive	7.5603	5.8972	7.0574	0	13	5	0
